Locality,Total Entities,Hospitals,Clinics,Labs,Pharmacies,Doctors,Trust Status
Dixit Colony,2,0,2,0,0,0,VERIFIED
Gwarighat Station Rd,2,0,2,0,0,0,VERIFIED
Khajanchi Nagar,2,0,1,0,1,0,VERIFIED
Garha Road,2,0,1,0,0,0,VERIFIED
Sbi Colony,2,0,2,0,0,0,VERIFIED
Gupteshwar,2,0,1,1,0,0,VERIFIED
Prem Mandir Chowk,2,0,1,0,0,0,VERIFIED
Ranjhi Road,2,0,2,0,0,0,VERIFIED
Manegaon,2,0,2,0,0,0,VERIFIED
Mother Teresa Nagar,2,0,1,1,0,0,VERIFIED
Vegetable Market,2,0,0,2,0,0,VERIFIED
D.N. Jain Market,2,0,2,0,0,0,VERIFIED
Kotwali bazar,2,0,1,0,1,0,VERIFIED
Bhedaghat Main Rd,2,0,2,0,0,0,VERIFIED
Sai Colony,2,0,2,0,0,0,VERIFIED
Madan Mahal Station Main Road Near Gate No.4 Chowk,1,0,1,0,0,0,VERIFIED
Gau Mata chowk,1,0,1,0,0,0,VERIFIED
stadium ROAD,1,0,1,0,0,0,VERIFIED
Marble city hospital,1,0,1,0,0,0,VERIFIED
Opposite Big Bazar South Avenue Mall,1,1,0,0,0,0,VERIFIED
Police Station,1,0,1,0,0,0,VERIFIED
Ground Floor Kachna Krishna South Civil,1,0,1,0,0,0,VERIFIED
opposite Prem nagar,1,0,1,0,0,0,VERIFIED
Medical Road,1,0,1,0,0,0,VERIFIED
Ganga nagar main road,1,0,1,0,0,0,VERIFIED
HIG 5 SHIV NAGAR,1,0,1,0,0,0,VERIFIED
Telephone Exchange Road,1,0,1,0,0,0,VERIFIED
Gupteshwer Ward,1,0,1,0,0,0,VERIFIED
near Ghamapur Square,1,0,1,0,0,0,VERIFIED
near City Hospital,1,1,0,0,0,0,VERIFIED
near Ekta Chowk,1,0,1,0,0,0,VERIFIED
Sanjivani Superspeciality Clinic Gomata Chowk,1,0,1,0,0,0,VERIFIED
Aaga Chowk near baldeobagh (2.75 km) 482001,1,1,0,0,0,0,VERIFIED
Grenade Chowk Gwarighat Road,1,0,1,0,0,0,VERIFIED
1240 adarsh nagar bhargav compound Narmada Road jabalpur Near Sindhi ki chakki 50 meters ahead and,1,0,1,0,0,0,VERIFIED
4791,1,0,1,0,0,0,VERIFIED
Dr. Chauhan Heera Market,1,0,1,0,0,0,VERIFIED
Scheme No. 5 Ahinsa Chowk,1,1,0,0,0,0,VERIFIED
Sai Mandir Rd,1,0,1,0,0,0,VERIFIED
near Narmada Road,1,0,1,0,0,0,VERIFIED
Infinity heart institute 2nd/3rd Floor,1,0,1,0,0,0,VERIFIED
Home Science College Road Shastri Bridge Chowk,1,0,1,0,0,0,VERIFIED
Russel chowk to Maharishi College(4th Bridge Road,1,0,1,0,0,0,VERIFIED
Fusakele Stone & Laser Center MLB School road,1,0,1,0,0,0,VERIFIED
Sharda Colony,1,0,1,0,0,0,VERIFIED
Housing Board Market,1,0,1,0,0,0,VERIFIED
Gopal Vihar Market,1,0,1,0,0,0,VERIFIED
Bagwan Nagar,1,0,1,0,0,0,VERIFIED
supteshwar ganesh mandir Ekta vihar,1,0,1,0,0,0,VERIFIED
Dhanvantri Nagar Road,1,0,1,0,0,0,VERIFIED
आमनपुर,1,0,1,0,0,0,VERIFIED
Geetanjali school road,1,0,1,0,0,0,VERIFIED
Jawaharganj Rd,1,0,1,0,0,0,VERIFIED
MLB school road,1,0,1,0,0,0,VERIFIED
Ashish Hospital Home Science College Road Near Madan Mahal,1,0,1,0,0,0,VERIFIED
near Ranital Chowk,1,0,1,0,0,0,VERIFIED
Golebazar,1,1,0,0,0,0,VERIFIED
Manas bhavan road,1,1,0,0,0,0,VERIFIED
near Hotel Satya Ashoka Road,1,1,0,0,0,0,VERIFIED
Jabalpur (M.P.),1,0,1,0,0,0,VERIFIED
opp. Virmani Petrol Pump Pasi Chowk,1,0,1,0,0,0,VERIFIED
Ashirwad Garden Opp Bhanwartal Krishna Hotel Road,1,0,1,0,0,0,VERIFIED
Bhawartal Garden,1,0,1,0,0,0,VERIFIED
Sneh Nagar main Rd,1,0,1,0,0,0,VERIFIED
Kachnarcity,1,0,1,0,0,0,VERIFIED
Care Multi Speciality Hospital Ukhari Chowk,1,0,0,0,0,0,VERIFIED
Ahmad Nagar Katra Jabalpur Ahmad Nagar Katra,1,0,1,0,0,0,VERIFIED
3rd floor,1,0,1,0,0,0,VERIFIED
Kusha Bhau Thakre Nagar,1,0,1,0,0,0,VERIFIED
SHATABDIPURAM,1,0,0,0,0,0,VERIFIED
Dindori,1,0,1,0,0,0,VERIFIED
Opp. SBI Marhatal,1,0,1,0,0,0,VERIFIED
Adhartal Rd,1,0,1,0,0,0,VERIFIED
near Standard Maruti Showroom,1,1,0,0,0,0,VERIFIED
Khushi Plaza krishna hotel Rd,1,0,1,0,0,0,VERIFIED
Dixit Pride Tayebali Chowk,1,0,1,0,0,0,VERIFIED
LIC colony,1,0,1,0,0,0,VERIFIED
Home Science College Road,1,0,1,0,0,0,VERIFIED
Jeevan Lal Yadav Market,1,0,1,0,0,0,VERIFIED
Chhoti Omti Rd,1,0,1,0,0,0,VERIFIED
Bhantaliya Road,1,0,1,0,0,0,VERIFIED
Adhartal dhani ki kutiya Infront of symbosis higher secondary school,1,1,0,0,0,0,VERIFIED
thana,1,0,1,0,0,0,VERIFIED
High Court Road,1,1,0,0,0,0,VERIFIED
Indraprastha Colony,1,0,1,0,0,0,VERIFIED
Rani Durgawati Chowk,1,0,1,0,0,0,VERIFIED
Shop No 683 Transport Nagar Road Gali No 17,1,0,1,0,0,0,VERIFIED
Advance Endoscopic and Surgical Center Deendayal Chowk,1,1,0,0,0,0,VERIFIED
Deendayal bus stand road,1,0,1,0,0,0,VERIFIED
Kirnapur Balaghat,1,0,1,0,0,0,VERIFIED
near Damoh Nacha Chowk,1,0,1,0,0,0,VERIFIED
Damoh - Jabalpur Rd,1,1,0,0,0,0,VERIFIED
Inside City Hospital,1,0,1,0,0,0,VERIFIED
Between SBI Chowk,1,0,0,0,1,0,VERIFIED
Deen Dayal chowk,1,0,1,0,0,0,VERIFIED
Pearl Clinic 1355 Kachnar City Road,1,0,1,0,0,0,VERIFIED
Kachnar City Road,1,0,1,0,0,0,VERIFIED
ITI Road,1,0,1,0,0,0,VERIFIED
Jaiswal medical Stores new shashtri Nagar,1,0,0,0,1,0,VERIFIED
Yadav Market,1,0,1,0,0,0,VERIFIED
Dr. Colony,1,0,0,0,0,0,VERIFIED
541 Shastri Nagar colony ( Medical Near radha krishna mandir,1,0,1,0,0,0,VERIFIED
Radhe shyam Clinic... new shastri nagar.. bajnamath,1,0,1,0,0,0,VERIFIED
Medical Road Medical,1,0,1,0,0,0,VERIFIED
Kothwali Bazar,1,0,1,0,0,0,VERIFIED
hanumantal,1,0,1,0,0,0,VERIFIED
Kotwali,1,0,1,0,0,0,VERIFIED
Shop No 01 Badhai Mohalla Road Badhai Mohalla,1,0,1,0,0,0,VERIFIED
Darhai Rd,1,0,1,0,0,0,VERIFIED
